Query,RAG chatbot response,Category,Type,Human Response,BERT Similarity Score
How do I know if someone is disqualified from driving?,Is disqualified from holding or obtaining a driving licence.,How,Direct,"We won’t cover if your car is used by someone disqualified from driving, as shown on your certificate.",3.161015649
What about modifications to my car?,"Modifications are changes to your car’s standard specification, including optional extras. If you wish to modify your car, you must tell us what modifications you want to make, and we must agree to them beforehand.",What,Direct,"You must inform us about any modifications, as they may affect your coverage.",2.43264674
How do I contact Churchill for help with anything else?,If you have a question about telematicsHelp with anything else FAQs churchill.com/faqs Call 0345 877 6680,How,Direct,"For help with anything else, call 0345 877 6680.",3.631346326
What exclusions apply to my policy?,"We don’t cover things like: >Mechanical or electrical failure. >Wear and tear. >Damage to tyres caused by braking, punctures, cuts or bursts. >Breakdowns (if your policy includes Green Flag breakdown, this may cover getting your car going again).",What,Direct,"Yes, exclusions include mechanical failure, wear and tear, tyre damage, and non-Green Flag breakdowns.",3.917554491
What is the 'Green Card' for travelling abroad?,The Green Card is a document that allows you to drive your car in other countries. It is a legal requirement in many countries and you will need to have one if you plan to drive abroad.,What,Direct,A Green Card is an international insurance certificate required in some countries to prove compulsory cover.,4.098582264
What should I do if my car is written off?,"If your car is written off and we agree to settle your claim on that basis, we will have met our responsibilities to you under the policy.",What should,Indirect,"If your car is written off, we will settle your claim, and you must pay any remaining instalments.",3.991963828
What happens if I lease my car and it’s written off?,"If your car can’t be repaired and you’re leasing it, we’ll pay any claims to the lease company, because they are the legal owners of the car.",What happens,Indirect,"If your car can’t be repaired and you’re leasing it, we’ll pay any claims to the lease company.",4.798292717
What should I do if I receive a court notice or legal action?,Contact us straight away,What should,Indirect,"Contact us straight away and give us any relevant information, documents, or help needed to process your claim.",3.214757453
What happens if I drive on a track day?,"When your car is driven on a racing track, on an airfield or at an off-road event, we won’t cover any loss or damage ",What happens,Indirect,"Your car is not covered for any incidents that occur while driving on a racing track, airfield, or off-road event.",3.945252466
How are repairs handled if I choose my own repairer?,Approved repairer A repairer in our network of contracted repairers who’s approved by us to carry out repairs to your car following a claim under this policy,How,Indirect,"If repairs are carried out at a repairer of your choice, those repairs will not be guaranteed by us.",3.117749683
What should I do if I have a problem with a repair?,"If there is a problem with any aspect of the repair, your first port of call is the repairer who did the original work.",What should,Indirect,"Contact the repairer who did the original work. If you’re still unhappy, please let us know.",3.259298368
What should I do if my car is stolen from a private locked garage?,You should report this theft to the police and provide us with the crime reference number.,What should,Indirect,"If your car is stolen from a private locked garage, we won’t charge an excess.",2.13308805
What happens if I leave my car unattended with the keys inside?,"We won’t pay a claim for theft or attempted theft if your car is left: >Unlocked. >With keys or key fobs in, on, or attached to the car. >With the engine running. >With a window or roof open.",What happens,Indirect,We won’t pay a claim for theft or attempted theft if the car is left with keys inside or the engine running.,4.187295855
What should I do if my policy details are incorrect?,"If you don’t provide correct and complete information or inform us of any changes, this could invalidate your policy or mean we don’t pay claims in full or at all.",What should,Indirect,Contact us as soon as possible to update your details.,1.860242644
How should I report a change in my vehicle's usage?,"After your cover starts You must tell us as soon as possible if: >You change the address where your car is normally kept overnight. >Anyone covered by the policy changes their occupation. >Anyone covered by the policy passes their driving test. >Any contact details change, for example, your email address. >Any other policyholder details change.",How,Indirect,Inform us immediately about any changes in your vehicle’s usage to ensure your coverage remains valid.,3.278675152
Are my personal belongings covered?,You’re not covered for Money. Credit or debit cards. Stamps. Tickets. Vouchers. Documents. Securities (such as share or Premium Bond certificates). Goods or samples for a trade or business. Any property that’s insured under any other policy.,,,Personal belongings in your car may be covered under the Personal Belongings cover in Section 6 of this policy.,2.417382006
